1979   ||   the_china_syndrome   ||   83%   ||   81%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 2 min.
1979   ||   ...and_justice_for_all   ||   81%   ||   80%   ||   {Drama, Mystery & Suspense, Comedy}   ||   1 hr. 59 min.
1979   ||   all_that_jazz   ||   85%   ||   86%   ||   {Drama, Musical & Performing Arts, Science Fiction & Fantasy}   ||   2 hr. 3 min.
1979   ||   being_there   ||   96%   ||   92%   ||   {Drama, Comedy}   ||   2 hr. 10 min.
1980   ||   raging_bull   ||   97%   ||   93%   ||   {Drama}   ||   2 hr. 8 min.
1980   ||   the_great_santini   ||   94%   ||   77%   ||   {Drama}   ||   1 hr. 46 min.
1980   ||   the_elephant_man   ||   90%   ||   93%   ||   {Drama}   ||   2 hr. 3 min.
1980   ||   the_stunt_man   ||   89%   ||   75%   ||   {Drama, Action & Adventure, Romance, Comedy}   ||   2 hr. 15 min.
1947   ||   a_double_life   ||   71%   ||   70%   ||   {Drama, Mystery & Suspense, Classics}   ||   1 hr. 43 min.
1947   ||   body_and_soul   ||   100%   ||   89%   ||   {Drama, Classics}   ||   1 hr. 44 min.
1947   ||   gentlemans_agreement   ||   78%   ||   77%   ||   {Drama, Romance, Classics}   ||   1 hr. 58 min.
1947   ||   life_with_father   ||   91%   ||   78%   ||   {Classics, Comedy}   ||   1 hr. 58 min.
1947   ||   mourning_becomes_electra   ||   none   ||   48%   ||   {Drama, Classics}   ||   2 hr. 37 min.
1967   ||   in_the_heat_of_the_night   ||   95%   ||   92%   ||   {Drama, Mystery & Suspense, Classics}   ||   1 hr. 49 min.
1967   ||   bonnie_and_clyde   ||   90%   ||   88%   ||   {Drama, Action & Adventure, Classics}   ||   1 hr. 51 min.
1967   ||   the_graduate   ||   89%   ||   90%   ||   {Drama, Romance, Classics, Comedy}   ||   1 hr. 46 min.
1967   ||   cool_hand_luke   ||   100%   ||   95%   ||   {Drama, Classics, Comedy}   ||   2 hr. 6 min.
1967   ||   guess_whos_coming_to_dinner   ||   68%   ||   85%   ||   {Drama, Romance, Classics, Comedy}   ||   1 hr. 48 min.
1951   ||   the_african_queen   ||   100%   ||   86%   ||   {Drama, Action & Adventure, Romance, Classics}   ||   1 hr. 45 min.
1951   ||   a_streetcar_named_desire   ||   98%   ||   90%   ||   {Drama, Classics}   ||   2 hr. 2 min.
1951   ||   a_place_in_the_sun   ||   75%   ||   84%   ||   {Drama, Romance, Classics}   ||   2 hr. 2 min.
1951   ||   bright_victory   ||   none   ||   88%   ||   {Drama, Romance, Classics}   ||   1 hr. 36 min.
1951   ||   death_of_a_salesman   ||   none   ||   77%   ||   {Drama, Classics}   ||   1 hr. 55 min.
2010   ||   the_kings_speech   ||   95%   ||   92%   ||   {Drama}   ||   1 hr. 58 min.
2010   ||   biutiful   ||   64%   ||   74%   ||   {Art House & International, Drama}   ||   2 hr. 28 min.
2010   ||   true_grit   ||   96%   ||   85%   ||   {Western, Drama, Action & Adventure}   ||   1 hr. 50 min.
2010   ||   the_social_network   ||   96%   ||   86%   ||   {Drama}   ||   2 hr.
2010   ||   127_hours   ||   93%   ||   85%   ||   {Drama}   ||   1 hr. 34 min.
1955   ||   marty   ||   100%   ||   88%   ||   {Drama, Romance, Classics}   ||   1 hr. 30 min.
1955   ||   love_me_or_leave_me   ||   67%   ||   76%   ||   {Drama, Romance, Musical & Performing Arts, Classics}   ||   2 hr. 2 min.
1955   ||   east_of_eden   ||   88%   ||   90%   ||   {Drama, Classics}   ||   1 hr. 55 min.
1955   ||   the_man_with_the_golden_arm   ||   86%   ||   84%   ||   {Drama}   ||   1 hr. 59 min.
1955   ||   bad_day_at_black_rock   ||   97%   ||   88%   ||   {Drama, Mystery & Suspense, Classics}   ||   1 hr. 22 min.
2006   ||   the_last_king_of_scotland   ||   87%   ||   89%   ||   {Drama}   ||   2 hr. 3 min.
2006   ||   blood_diamond   ||   62%   ||   90%   ||   {Drama, Action & Adventure, Mystery & Suspense}   ||   2 hr. 23 min.
2006   ||   half_nelson   ||   90%   ||   83%   ||   {Drama}   ||   1 hr. 27 min.
2006   ||   venus   ||   89%   ||   74%   ||   {Drama, Romance, Comedy}   ||   1 hr. 35 min.
2006   ||   the_pursuit_of_happyness   ||   67%   ||   87%   ||   {Drama}   ||   1 hr. 57 min.
2012   ||   lincoln   ||   90%   ||   81%   ||   {Drama}   ||   2 hr. 29 min.
2012   ||   silver_linings_playbook   ||   92%   ||   86%   ||   {Comedy}   ||   2 hr. 2 min.
2012   ||   the_master   ||   85%   ||   61%   ||   {Drama}   ||   2 hr. 18 min.
2012   ||   flight   ||   77%   ||   75%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 18 min.
1958   ||   separate_tables   ||   77%   ||   77%   ||   {Drama, Classics}   ||   1 hr. 40 min.
1958   ||   the_defiant_ones   ||   81%   ||   88%   ||   {Drama, Classics}   ||   1 hr. 37 min.
1958   ||   cat_on_a_hot_tin_roof   ||   97%   ||   93%   ||   {Drama, Classics}   ||   1 hr. 48 min.
1958   ||   the_defiant_ones   ||   81%   ||   88%   ||   {Drama, Classics}   ||   1 hr. 37 min.
1958   ||   the_old_man_and_the_sea   ||   88%   ||   68%   ||   {Drama, Action & Adventure, Classics}   ||   1 hr. 26 min.
1988   ||   rain_man   ||   90%   ||   90%   ||   {Drama}   ||   2 hr. 13 min.
1988   ||   mississippi_burning   ||   89%   ||   90%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 7 min.
1988   ||   stand_and_deliver   ||   73%   ||   79%   ||   {Drama}   ||   1 hr. 39 min.
1988   ||   pelle_the_conqueror   ||   100%   ||   89%   ||   {Art House & International, Drama}   ||   2 hr. 40 min.
1946   ||   the_best_years_of_our_lives   ||   98%   ||   92%   ||   {Drama, Romance, Classics}   ||   2 hr. 50 min.
1946   ||   the_jolson_story   ||   none   ||   79%   ||   {Drama, Musical & Performing Arts, Classics, Special Interest}   ||   2 hr. 8 min.
1946   ||   the_yearling   ||   100%   ||   74%   ||   {Classics, Kids & Family}   ||   2 hr. 8 min.
1946   ||   its_a_wonderful_life   ||   94%   ||   95%   ||   {Drama, Kids & Family, Classics, Science Fiction & Fantasy, Comedy}   ||   2 hr. 15 min.
1993   ||   philadelphia   ||   78%   ||   89%   ||   {Drama}   ||   2 hr. 5 min.
1993   ||   in_the_name_of_the_father   ||   94%   ||   95%   ||   {Drama}   ||   2 hr. 13 min.
1993   ||   whats_love_got_to_do_with_it   ||   96%   ||   88%   ||   {Musical & Performing Arts, Drama}   ||   1 hr. 58 min.
1993   ||   the_remains_of_the_day   ||   97%   ||   90%   ||   {Drama, Romance}   ||   2 hr. 14 min.
1993   ||   schindlers_list   ||   96%   ||   97%   ||   {Drama}   ||   3 hr. 16 min.
2004   ||   ray   ||   81%   ||   87%   ||   {Drama}   ||   2 hr. 28 min.
2004   ||   hotel_rwanda   ||   90%   ||   94%   ||   {Drama}   ||   2 hr. 1 min.
2004   ||   finding_neverland   ||   83%   ||   87%   ||   {Drama}   ||   1 hr. 41 min.
2004   ||   the_aviator   ||   87%   ||   79%   ||   {Drama}   ||   2 hr. 50 min.
2004   ||   million_dollar_baby   ||   91%   ||   90%   ||   {Drama, Romance}   ||   2 hr. 13 min.
2002   ||   the_pianist   ||   96%   ||   95%   ||   {Drama}   ||   2 hr. 28 min.
2002   ||   adaptation   ||   91%   ||   85%   ||   {Drama, Comedy}   ||   1 hr. 54 min.
