year,     event,     actor,     movie,     role,     won
1945,     (18th) best actress,     Ingrid Bergman,     The Bells of St. Mary's,     Mary Benedict,     False
1945,     (18th) best actress,     Greer Garson,     The Valley of Decision,     Mary Rafferty,     False
1945,     (18th) best actress,     Jennifer Jones,     Love Letters,     Singleton,     False
1945,     (18th) best actress,     Gene Tierney,     Leave Her to Heaven,     Ellen Berent Harland,     False
1963,     (36th) best actress,     Patricia Neal,     Hud,     Alma Brown,     True
1963,     (36th) best actress,     Leslie Caron,     The L-Shaped Room,     Jane Fossett,     False
1963,     (36th) best actress,     Shirley MacLaine,     Irma la Douce,     Irma La Douce,     False
1963,     (36th) best actress,     Rachel Roberts,     This Sporting Life,     Margaret Hammond,     False
1963,     (36th) best actress,     Natalie Wood,     Love with the Proper Stranger,     Angie Rossini,     False
1959,     (32nd) best actress,     Simone Signoret,     Room at the Top,     Alice Aisgill,     True
1959,     (32nd) best actress,     Doris Day,     Pillow Talk,     Jan Morrow,     False
1959,     (32nd) best actress,     Audrey Hepburn,     The Nun's Story,     Gabrielle van der Mal,     False
1959,     (32nd) best actress,     Katharine Hepburn,     Suddenly, Last Summer,     Violet Venable,     False
1959,     (32nd) best actress,     Elizabeth Taylor,     Suddenly, Last Summer,     Catherine Holly,     False
1952,     (25th) best actress,     Shirley Booth,     Come Back, Little Sheba,     Lola Delaney,     True
1952,     (25th) best actress,     Joan Crawford,     Sudden Fear,     Myra Hudson,     False
1952,     (25th) best actress,     Bette Davis,     The Star,     Margaret Elliot,     False
1952,     (25th) best actress,     Julie Harris,     The Member of the Wedding,     Frances 'Frankie' Addams,     False
1952,     (25th) best actress,     Susan Hayward,     With a Song in My Heart,     Jane Froman,     False
1969,     (42nd) best actress,     Maggie Smith,     The Prime of Miss Jean Brodie,     Jean Brodie,     True
1969,     (42nd) best actress,     Geneviève Bujold,     Anne of the Thousand Days,     Anne Boleyn,     False
1969,     (42nd) best actress,     Jane Fonda,     They Shoot Horses, Don't They?,     Gloria Beatty,     False
1969,     (42nd) best actress,     Liza Minnelli,     The Sterile Cuckoo,     Mary Ann 'Pookie' Adams,     False
1969,     (42nd) best actress,     Jean Simmons,     The Happy Ending,     Mary Wilson,     False
1962,     (35th) best actress,     Anne Bancroft,     The Miracle Worker,     Annie Sullivan,     True
1962,     (35th) best actress,     Bette Davis,     What Ever Happened to Baby Jane?,     Baby Jane Hudson,     False
1962,     (35th) best actress,     Katharine Hepburn,     Long Day's Journey into Night,     Mary Cavan Tyrone,     False
1962,     (35th) best actress,     Geraldine Page,     Sweet Bird of Youth,     Alexandra Del Lago,     False
1962,     (35th) best actress,     Lee Remick,     Days of Wine and Roses,     Kirsten Arnesen Clay,     False
1986,     (59th) best actress,     Marlee Matlin,     Children of a Lesser God,     Sarah Norman,     True
1986,     (59th) best actress,     Jane Fonda,     The Morning After,     Alex Sternbergen,     False
1986,     (59th) best actress,     Sissy Spacek,     Crimes of the Heart,     Babe Magrath,     False
1986,     (59th) best actress,     Kathleen Turner,     Peggy Sue Got Married,     Peggy Sue Bodell,     False
1986,     (59th) best actress,     Sigourney Weaver,     Aliens,     Ellen Ripley,     False
1964,     (37th) best actress,     Julie Andrews,     Mary Poppins,     Mary Poppins,     True
1964,     (37th) best actress,     Anne Bancroft,     The Pumpkin Eater,     Jo Armitage,     False
1964,     (37th) best actress,     Sophia Loren,     Marriage Italian Style,     Filumena Marturano,     False
1964,     (37th) best actress,     Debbie Reynolds,     The Unsinkable Molly Brown,     Molly Brown,     False
1964,     (37th) best actress,     Kim Stanley,     Séance on a Wet Afternoon,     Myra Savage,     False
1954,     (27th) best actress,     Grace Kelly,     The Country Girl,     Georgie Elgin,     True
1954,     (27th) best actress,     Dorothy Dandridge,     Carmen Jones,     Carmen Jones,     False
1954,     (27th) best actress,     Judy Garland,     A Star Is Born,     Esther Victoria Blodgett / Vicki Lester,     False
1954,     (27th) best actress,     Audrey Hepburn,     Sabrina,     Sabrina Fairchild,     False
1954,     (27th) best actress,     Jane Wyman,     Magnificent Obsession,     Helen Phillips,     False
1984,     (57th) best actress,     Sally Field,     Places in the Heart,     Edna Spalding,     True
1984,     (57th) best actress,     Judy Davis,     A Passage to India,     Adela Quested,     False
1984,     (57th) best actress,     Jessica Lange,     Country,     Jewell Ivy,     False
1984,     (57th) best actress,     Vanessa Redgrave,     The Bostonians,     Olive Chancellor,     False
1984,     (57th) best actress,     Sissy Spacek,     The River,     Mae Garvey,     False
1996,     (69th) best actress,     Frances McDormand,     Fargo,     Marge Gunderson,     True
1996,     (69th) best actress,     Brenda Blethyn,     Secrets & Lies,     Cynthia Rose Purley,     False
1996,     (69th) best actress,     Diane Keaton,     Marvin's Room,     Bessie Wakefield,     False
1996,     (69th) best actress,     Kristin Scott Thomas,     The English Patient,     Katharine Clifton,     False
1996,     (69th) best actress,     Emily Watson,     Breaking the Waves,     Bess McNeill,     False
1995,     (68th) best actress,     Susan Sarandon,     Dead Man Walking,     Helen Prejean,     True
1995,     (68th) best actress,     Elisabeth Shue,     Leaving Las Vegas,     Sera,     False
1995,     (68th) best actress,     Sharon Stone,     Casino,     Ginger McKenna,     False
1995,     (68th) best actress,     Meryl Streep,     The Bridges of Madison County,     Francesca Johnson,     False
1995,     (68th) best actress,     Emma Thompson,     Sense and Sensibility,     Elinor Dashwood,     False
1987,     (60th) best actress,     Cher,     Moonstruck,     Loretta Castorini,     True
1987,     (60th) best actress,     Glenn Close,     Fatal Attraction,     Alex Forrest,     False
1987,     (60th) best actress,     Holly Hunter,     Broadcast News,     Jane Craig,     False
1987,     (60th) best actress,     Sally Kirkland,     Anna,     Anna,     False
1987,     (60th) best actress,     Meryl Streep,     Ironweed,     Helen Archer,     False
1992,     (65th) best actress,     Emma Thompson,     Howards End,     Margaret Schlegel,     True
1992,     (65th) best actress,     Catherine Deneuve,     Indochine,     Eliane Devries,     False
1992,     (65th) best actress,     Mary McDonnell,     Passion Fish,     May-Alice Culhane,     False
1992,     (65th) best actress,     Michelle Pfeiffer,     Love Field,     Lurene Hallett,     False
1992,     (65th) best actress,     Susan Sarandon,     Lorenzo's Oil,     Michaela Murphy Odone,     False
1953,     (26th) best actress,     Audrey Hepburn,     Roman Holiday,     Princess Ann,     True
1953,     (26th) best actress,     Leslie Caron,     Lili,     Lili Daurier,     False
1953,     (26th) best actress,     Ava Gardner,     Mogambo,     Eloise "Honey Bear" Kelly,     False
1953,     (26th) best actress,     Deborah Kerr,     From Here to Eternity,     Karen Holmes,     False
1953,     (26th) best actress,     Maggie McNamara,     The Moon Is Blue,     Patty O'Neill,     False
2009,     (82nd) best actress,     Sandra Bullock,     The Blind Side,     Leigh Anne Tuohy,     True
2009,     (82nd) best actress,     Helen Mirren,     The Last Station,     Sophia Tolstaya,     False
2009,     (82nd) best actress,     Carey Mulligan,     An Education,     Jenny Mellor,     False
2009,     (82nd) best actress,     Gabourey Sidibe,     Precious,     Claireece "Precious" Jones,     False
2009,     (82nd) best actress,     Meryl Streep,     Julie & Julia,     Julia Child,     False
2015,     (88th) best actress,     Brie Larson,     Room,     Joy "Ma" Newsome,     True
2015,     (88th) best actress,     Cate Blanchett,     Carol,     Carol Aird,     False
2015,     (88th) best actress,     Jennifer Lawrence,     Joy,     Joy Mangano,     False
2015,     (88th) best actress,     Charlotte Rampling,     45 Years,     Kate Mercer,     False
2015,     (88th) best actress,     Saoirse Ronan,     Brooklyn,     Eilis Lacey,     False
