year,     event,     actor,     movie,     role,     won
1970,     (43rd) best actor,     Jack Nicholson,     Five Easy Pieces,     Robert Eroica Dupea,     False
1970,     (43rd) best actor,     Ryan O'Neal,     Love Story,     Oliver Barrett IV,     False
1983,     (56th) best actor,     Robert Duvall,     Tender Mercies,     Mac Sledge,     True
1983,     (56th) best actor,     Michael Caine,     Educating Rita,     Dr. Frank Bryant,     False
1983,     (56th) best actor,     Tom Conti,     Reuben, Reuben,     Gowan McGland,     False
1983,     (56th) best actor,     Tom Courtenay,     The Dresser,     Norman,     False
1983,     (56th) best actor,     Albert Finney,     The Dresser,     Sir,     False
1965,     (38th) best actor,     Lee Marvin,     Cat Ballou,     Kid Shelleen,     True
1965,     (38th) best actor,     Richard Burton,     The Spy Who Came in from the Cold,     Alec Leamas,     False
1965,     (38th) best actor,     Laurence Olivier,     Othello,     Othello,     False
1965,     (38th) best actor,     Rod Steiger,     The Pawnbroker,     Sol Nazerman,     False
1965,     (38th) best actor,     Oskar Werner,     Ship of Fools,     Willie Schumann,     False
1972,     (45th) best actor,     Marlon Brando,     The Godfather,     Vito Corleone,     True
1972,     (45th) best actor,     Michael Caine,     Sleuth,     Milo Tindle,     False
1972,     (45th) best actor,     Laurence Olivier,     Sleuth,     Andrew Wyke,     False
1972,     (45th) best actor,     Peter O'Toole,     The Ruling Class,     Jack Gurney, 14th Earl of Gurney,     False
1972,     (45th) best actor,     Paul Winfield,     Sounder,     Nathan Lee Morgan,     False
1968,     (41st) best actor,     Cliff Robertson,     Charly,     Charly Gordon,     True
1968,     (41st) best actor,     Alan Arkin,     The Heart Is a Lonely Hunter,     John Singer,     False
1968,     (41st) best actor,     Alan Bates,     The Fixer,     Yakov Bok,     False
1968,     (41st) best actor,     Ron Moody,     Oliver!,     Fagin,     False
1968,     (41st) best actor,     Peter O'Toole,     The Lion in Winter,     King Henry II of England,     False
1981,     (54th) best actor,     Henry Fonda,     On Golden Pond,     Norman Thayer, Jr.,     True
1981,     (54th) best actor,     Warren Beatty,     Reds,     John Silas "Jack" Reed,     False
1981,     (54th) best actor,     Burt Lancaster,     Atlantic City,     Lou Pascal,     False
1981,     (54th) best actor,     Dudley Moore,     Arthur,     Arthur Bach,     False
1981,     (54th) best actor,     Paul Newman,     Absence of Malice,     Michael Colin Gallagher,     False
1977,     (50th) best actor,     Richard Dreyfuss,     The Goodbye Girl,     Elliot Garfield,     True
1977,     (50th) best actor,     Woody Allen,     Annie Hall,     Alvy Singer,     False
1977,     (50th) best actor,     Richard Burton,     Equus,     Martin Dysart,     False
1977,     (50th) best actor,     Marcello Mastroianni,     A Special Day,     Gabriele,     False
1977,     (50th) best actor,     John Travolta,     Saturday Night Fever,     Anthony "Tony" Manero,     False
1997,     (70th) best actor,     Jack Nicholson,     As Good as It Gets,     Melvin Udall,     True
1997,     (70th) best actor,     Matt Damon,     Good Will Hunting,     Will Hunting,     False
1997,     (70th) best actor,     Robert Duvall,     The Apostle,     Euliss "Sonny" Dewey,     False
1997,     (70th) best actor,     Peter Fonda,     Ulee's Gold,     Ulysses "Ulee" Jackson,     False
1997,     (70th) best actor,     Dustin Hoffman,     Wag the Dog,     Stanley Motss,     False
1949,     (22nd) best actor,     Broderick Crawford,     All the King's Men,     Willie Stark,     True
